STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Average
AL,11.08,11.5,12.11,12.42,12.1,12.16,12.08,12.22,12.27,12.56,12.29,12.04,12.06
AK,19.44,19.84,20.06,20.72,20.91,21.3,21.42,21.07,20.85,21.02,21.18,20.61,20.7
AZ,10.9,11.46,11.75,12.36,12.94,12.54,12.7,12.56,12.77,12.16,11.66,12.21,12.16
AR,8.93,9.13,9.62,10.04,10.19,10.31,10.28,10.38,10.43,9.85,10.08,9.9,9.92
CA,17.76,17.69,17.66,12.4,17.74,18.11,18.49,18.88,18.22,13.94,17.97,17.4,17.18
CO,10.97,11.26,11.35,11.78,11.67,12.56,12.43,12.79,12.78,12.01,12.16,12.02,11.98
CT,19.86,20.68,20.84,21.15,21.63,20.96,19.78,18.76,18.97,19.95,19.66,20,21.18
DE,13.16,12.99,13.39,13.9,14.54,13.6,12.99,13,13.09,15.5,13.87,13.47,13.62
FL,11.6,11.34,11.24,11.07,10.86,11.08,11.18,11.47,11.39,11.2,11.3,11.24,11.24
GA,10.45,10.52,11.14,11.16,11.51,12.25,12.29,12.52,11.93,11.07,10.93,11.41,11.43
HI,26.92,26.77,27.35,26.93,26.87,27.5,28.04,27.45,27.84,27.54,28.48,27.46,27.42
ID,9.55,9.66,9.8,9.87,10.14,10.12,10.81,10.51,10.29,10.31,10.08,10,10.09
IL,11.42,11.94,12.56,12.79,13.3,12.25,12.06,11.94,12.2,12.54,12.86,12.23,12.34
IN,10.47,10.53,11.21,11.84,11.81,11.33,11.27,11.35,11.79,12.24,12.42,11.39,11.47
IA,10.45,10.94,11.5,11.71,13.01,13.56,14.07,14.28,12.72,12.27,12,12.25,12.39
KS,11.91,12.57,13.17,13.45,13.79,13.3,13.06,13.17,12.92,13.12,13.16,12.95,13.04
KY,9.8,9.71,10.05,10.36,10.51,10.33,10.28,10.31,10.47,10.83,11.01,10.29,10.32
LA,8.54,8.47,9.14,9.17,9.28,8.96,9.06,9.43,9.52,9.33,9.16,9.11,9.09
ME,17.66,17.83,18.8,14.34,15.93,16.03,15.87,16.12,16.28,16.28,16.24,15.8,16.43
MD,14.03,13.98,14.36,14.37,14.7,14.61,14.05,13.83,14.04,15.19,14.33,14.23,14.31
MA,19.34,19.78,19.84,20.64,19.06,18.51,18.19,18.32,19.47,18.74,19.15,19.11,19.17
MI,14.52,14.88,14.83,14.95,15.33,15.38,15.39,15.87,15.77,15.77,15.46,15.3,15.28
MN,11.99,12.14,12.23,12.62,13.05,12.8,13.2,13.11,13.88,13.24,13.15,12.73,12.84
MS,10.49,10.32,10.91,11.01,10.88,10.64,10.21,10.31,10.19,10.66,11.04,10.54,10.6
MO,9.14,9.23,10.06,10.36,11.93,12.59,12.28,12.4,11.26,10.4,10.79,10.89,10.94
MT,10.2,10.52,10.92,11.03,11.42,11.58,11.6,11.5,11.62,11.35,11.06,11.04,11.15
NE,9.43,9.83,10.31,10.65,11.05,11.9,12.11,12.02,12.34,10.8,10.73,10.87,11
NV,11.42,12.2,12.28,11.89,12.09,11.4,10.72,10.83,11.18,12.06,11.8,11.42,11.6
NH,18,18.37,18.46,18.67,18.54,18.13,18,18.23,18.35,18.93,19.11,18.43,18.43
NJ,15.45,15.48,15.58,15.52,15.4,16.05,16.15,16.22,16.16,15.29,15.29,15.75,15.69
NM,11.45,11.26,11.44,11.34,11.35,12.22,12.51,13.02,12.9,12.59,11.98,12.08,12.01
NY,16.54,16.76,16.89,17.39,17.73,17.89,17.95,18,18.38,18.28,17.75,17.59,17.59
NC,10.44,10.77,11.66,11.72,11.41,11.13,11.19,11.36,11.44,11.78,11.22,11.14,11.27
ND,8.57,9.41,9.82,10.52,11.07,11.39,11.26,11.38,11.88,10.9,10.3,10.24,10.56
OH,12.05,12.03,12.47,12.76,13.02,12.47,12.25,12.2,11.9,12.28,12.22,12.28,12.32
OK,8.33,9.63,10.24,10.93,10.73,9.99,9.99,10.51,11.11,11.03,9.4,10.07,10.16
OR,10.2,10.37,10.42,10.5,10.8,10.78,10.79,10.86,10.91,10.98,10.75,10.63,10.66
PA,13.87,14.02,14.06,14.27,14.42,14.03,13.76,13.81,14.17,14.4,14.24,14.03,14.09
RI,18.41,18.78,19.07,19.43,18.02,18.69,17.11,18.57,20.49,18.89,18.17,18.63,18.68
SC,11.72,11.9,12.86,12.77,12.54,12.68,12.58,12.76,12.74,12.39,12.54,11.44,12.41
SD,10.12,10.34,10.98,11.39,12.12,11.97,12.19,11.93,12.49,12.18,11.71,11.43,11.57
TN,9.9,9.61,10.01,10.22,10.25,10.37,10.45,10.54,10.56,10.63,10.95,10.33,10.31
TX,10.95,11.06,11.25,11.28,11.11,11.1,10.86,10.94,11.13,11,11.11,11.02,11.06
UT,10.54,10.61,10.67,10.71,11.01,11.51,11.72,11.89,11.28,10.69,10.71,11.08,11.03
VT,16.62,16.89,17.11,17.52,17.79,17.57,17.29,17.27,17.53,17.78,17.84,17.33,17.37
VA,10.66,10.89,11.18,12,12.03,12.24,11.71,11.74,11.72,11.25,11.52,11.42,11.53
WA,9.07,9.21,9.22,9.33,9.54,9.58,9.6,9.57,9.64,9.58,9.51,9.38,9.43
WV,10.68,10.68,11,11.29,11.41,11.16,11.19,11.57,11.59,11.89,11.72,11.22,11.28
WI,13.77,14.09,14.23,14.45,14.98,14.95,14.55,14.33,14.77,14.76,14.4,14.38,14.47
WY,10.44,10.59,10.85,10.99,11.53,11.81,11.88,11.75,11.8,11.56,11.39,11.18,11.31
